Postcode,Postcode Status,LSOA code,LSOA Name,Index of Multiple Deprivation Rank,Index of Multiple Deprivation Decile,Income Rank,Income Decile,Income Score,Employment Rank,Employment Decile,Employment Score,Education and Skills Rank,Education and Skills Decile,Health and Disability Rank,Health and Disability Decile,Crime Rank,Crime Decile,Barriers to Housing and Services Rank,Barriers to Housing and Services Decile,Living Environment Rank,Living Environment Decile,IDACI Rank,IDACI Decile,IDACI Score,IDAOPI Rank,IDAOPI Decile,IDAOPI Score
MK8 0PT,Live,E01033522,Milton Keynes 019F E01033522,15705,5,18787,6,0.084,17556,6,0.075,14419,5,8414,3,20790,7,3097,1,31659,10,18674,6,0.106,16512,6,0.127
DE4 4DX,Live,E01019636,Derbyshire Dales 007D E01019636,22198,7,17123,6,0.095,17864,6,0.074,16497,6,21759,7,28457,9,29306,9,14780,5,15657,5,0.133,19597,6,0.103
DE56 0DA,Live,E01019411,Amber Valley 011B E01019411,19815,7,20118,7,0.077,17452,6,0.075,9001,3,15287,5,25417,8,17392,6,28497,9,24796,8,0.065,15688,5,0.134
DE45 1JA,Live,E01019599,Derbyshire Dales 003A E01019599,29783,10,29749,10,0.035,28651,9,0.037,26913,9,28170,9,31996,10,12788,4,16815,6,25331,8,0.062,31911,10,0.031
DE6 1EP,Live,E01019594,Derbyshire Dales 009A E01019594,17152,6,15089,5,0.109,14771,5,0.087,7773,3,20680,7,24568,8,12088,4,27647,9,17999,6,0.112,13393,5,0.157
BH20 4PF,Live,E01020486,Purbeck 003D E01020486,22393,7,19550,6,0.08,18230,6,0.072,19794,7,19345,6,19790,7,16041,5,26622,9,19623,6,0.099,22890,7,0.083
DT10 1DT,Live,E01020458,North Dorset 004D E01020458,25909,8,24975,8,0.055,27140,9,0.042,20719,7,31016,10,28432,9,4895,2,23179,8,22211,7,0.081,27146,9,0.06
PO8 8RY,Live,E01022931,Havant 003B E01022931,30504,10,31986,10,0.022,30820,10,0.029,22964,7,27174,9,14643,5,31590,10,19581,6,30862,10,0.029,32240,10,0.027
RG26 5NL,Live,E01022473,Basingstoke and Deane 004B E01022473,25570,8,26235,8,0.05,27403,9,0.042,17604,6,25964,8,20985,7,8982,3,21985,7,18321,6,0.109,32472,10,0.024
SO51 5SY,Live,E01023199,Test Valley 013D E01023199,18725,6,17605,6,0.092,18588,6,0.071,22445,7,28722,9,15188,5,4038,2,15001,5,13478,5,0.156,29276,9,0.049
PO7 5DS,Live,E01022951,Havant 011E E01022951,25110,8,23495,8,0.061,26141,8,0.046,16314,5,19837,7,21476,7,18568,6,21671,7,22236,7,0.08,22656,7,0.084
LE65 1DT,Live,E01025917,North West Leicestershire 003C E01025917,28003,9,23575,8,0.061,22475,7,0.057,24796,8,28233,9,27579,9,26921,9,15902,5,22552,7,0.078,26748,9,0.062
NG13 0AX,Live,E01025885,Melton 001A E01025885,32143,10,30994,10,0.029,30309,10,0.031,31296,10,30533,10,30167,10,18185,6,24279,8,30575,10,0.031,31084,10,0.038
LE13 1LH,Live,E01025906,Melton 002E E01025906,30035,10,28897,9,0.039,30920,10,0.029,27345,9,25271,8,29194,9,8231,3,32308,10,25192,8,0.062,25988,8,0.066
LE67 4UW,Live,E01025935,North West Leicestershire 009D E01025935,24884,8,27060,9,0.046,20743,7,0.063,18056,6,18181,6,10006,4,29643,10,32173,10,25543,8,0.061,30754,10,0.04
LE4 7GY,Live,E01013739,Leicester 005B E01013739,6671,3,5506,2,0.22,5376,2,0.165,8543,3,4488,2,10808,4,18819,6,15736,5,8385,3,0.225,4970,2,0.293
ST9 9EE,Live,E01029776,Staffordshire Moorlands 008C E01029776,32488,10,29417,9,0.037,29431,9,0.035,28853,9,29125,9,31209,10,28849,9,29324,9,28146,9,0.045,29963,10,0.045
WS7 3QW,Live,E01029497,Lichfield 006E E01029497,15959,5,14240,5,0.115,10773,4,0.112,11370,4,21528,7,7282,3,30258,10,25753,8,16273,5,0.128,16630,6,0.126
SN10 3AG,Live,E01031852,Kennet 004C E01031852,23352,8,20567,7,0.075,20077,7,0.065,13406,5,20950,7,25159,8,20375,7,26686,9,19063,6,0.103,23087,8,0.081
SP1 1RD,Live,E01032012,Salisbury 012C E01032012,29359,9,31401,10,0.027,25848,8,0.046,25281,8,26998,9,23053,8,11731,4,28133,9,31930,10,0.02,29909,10,0.045
SL6 3AX,Live,E01016560,Windsor and Maidenhead 008B E01016560,14265,5,11667,4,0.138,11645,4,0.106,10344,4,10967,4,21003,7,23595,8,19135,6,13582,5,0.155,12661,4,0.166
SL6 2QB,Live,E01016592,Windsor and Maidenhead 004E E01016592,29129,9,28663,9,0.04,31490,10,0.026,31064,10,31694,10,14828,5,10678,4,19859,7,29556,9,0.037,24041,8,0.076
RG14 6JP,Live,E01016291,West Berkshire 021C E01016291,32292,10,29992,10,0.034,28207,9,0.039,30854,10,31042,10,30844,10,26305,9,23800,8,30339,10,0.032,32187,10,0.028
RG4 8LR,Live,E01016430,Reading 002E E01016430,32357,10,32691,10,0.013,31925,10,0.023,31938,10,31802,10,28381,9,14205,5,27984,9,32155,10,0.017,32610,10,0.021
PE19 1LQ,Live,E01018190,Huntingdonshire 019D E01018190,16883,6,14032,5,0.117,14745,5,0.088,9168,3,19045,6,12999,4,29911,10,19678,6,9946,4,0.202,20544,7,0.097
PE7 1XB,Live,E01018072,Fenland 006B E01018072,10087,4,9077,3,0.166,8126,3,0.133,3926,2,12152,4,15642,5,22443,7,20972,7,7521,3,0.24,15495,5,0.136
PE1 2UW,Live,E01015654,Peterborough 012E E01015654,4920,2,6286,2,0.206,9337,3,0.123,5621,2,3673,2,2320,1,11485,4,4900,2,7270,3,0.244,5510,2,0.28
EX18 7AA,Live,E01020098,North Devon 014B E01020098,12750,4,15627,5,0.105,17079,6,0.077,20175,7,25070,8,31901,10,3314,2,403,1,11600,4,0.179,21890,7,0.088
EX5 3AJ,Live,E01019892,East Devon 006B E01019892,19012,6,15917,5,0.103,21641,7,0.06,12774,4,30167,10,23358,8,9821,3,8851,3,13075,4,0.161,19763,7,0.102
TQ14 9HZ,Live,E01020266,Teignbridge 008B E01020266,26087,8,23336,8,0.062,19643,6,0.067,25687,8,24919,8,24544,8,22744,7,16624,6,25995,8,0.058,25509,8,0.068
EX16 6SQ,Live,E01020048,Mid Devon 005A E01020048,10179,4,10979,4,0.145,7572,3,0.139,10025,4,21666,7,8512,3,27954,9,2637,1,12013,4,0.174,20456,7,0.097
PL6 8UN,Live,E01015094,Plymouth 005E E01015094,8646,3,8044,3,0.18,7089,3,0.144,6692,3,4300,2,19192,6,18620,6,22846,7,6905,3,0.25,9939,4,0.2
SS11 8LY,Live,E01021337,Basildon 007B E01021337,25788,8,28912,9,0.039,20972,7,0.062,13632,5,26662,9,23959,8,14897,5,26721,9,29667,10,0.037,28074,9,0.055
SS4 1TL,Live,E01021931,Rochford 002E E01021931,23029,8,22514,7,0.065,21973,7,0.058,8334,3,27504,9,17592,6,20912,7,27848,9,24311,8,0.068,21170,7,0.093
CM8 1EP,Live,E01033462,Braintree 017H E01033462,15912,5,15845,5,0.103,12302,4,0.101,14064,5,10232,4,16028,5,20615,7,20579,7,19839,7,0.097,13415,5,0.157
CO11 2BW,Live,E01022014,Tendring 003C E01022014,15126,5,14316,5,0.115,12282,4,0.102,11834,4,7208,3,19407,6,26358,9,23489,8,17552,6,0.116,13948,5,0.152
CO9 2HR,Live,E01021390,Braintree 006B E01021390,29182,9,25200,8,0.054,28219,9,0.039,17904,6,26999,9,29880,10,17475,6,31074,10,23352,8,0.073,24459,8,0.074
CM15 8RY,Live,E01021467,Brentwood 005F E01021467,31759,10,32709,10,0.013,32051,10,0.022,31372,10,32213,10,10719,4,23721,8,28284,9,32520,10,0.012,32191,10,0.028
CM3 5JU,Live,E01021613,Chelmsford 019C E01021613,23175,8,19339,6,0.081,20141,7,0.065,13272,5,29082,9,19269,6,17773,6,26954,9,17700,6,0.114,21040,7,0.093
SS0 0BW,Live,E01015824,Southend-on-Sea 005E E01015824,3889,2,1806,1,0.315,2920,1,0.205,4849,2,5855,2,9628,3,16520,6,24472,8,1830,1,0.381,2621,1,0.367
RM17 5LL,Live,E01015960,Thurrock 014A E01015960,24939,8,20120,7,0.077,24288,8,0.051,19285,6,22055,7,15055,5,25485,8,24616,8,22405,7,0.079,16002,5,0.132
SS17 0NW,Live,E01015991,Thurrock 005B E01015991,25660,8,21862,7,0.068,26294,9,0.045,14989,5,25707,8,15593,5,25472,8,24133,8,16323,5,0.127,25348,8,0.069
HR2 9HJ,Live,E01014098,Herefordshire 021E E01014098,12251,4,11939,4,0.135,13847,5,0.093,7960,3,19694,6,12363,4,7687,3,10874,4,10917,4,0.188,14875,5,0.142
WR14 1WD,Live,E01032188,Malvern Hills 006A E01032188,15784,5,11271,4,0.142,12467,4,0.1,12649,4,17068,6,16663,6,28440,9,16366,5,10466,4,0.194,13988,5,0.151
B98 8HB,Live,E01032224,Redditch 004A E01032224,7847,3,8801,3,0.17,9144,3,0.124,8065,3,5973,2,5971,2,9473,3,13690,5,13680,5,0.154,4844,2,0.296
CT11 7PS,Live,E01024670,Thanet 015D E01024670,3342,2,4280,2,0.245,4818,2,0.172,5801,2,7080,3,173,1,14006,5,5423,2,3200,1,0.332,5267,2,0.285
DA12 2PR,Live,E01024259,Gravesham 005A E01024259,27680,9,31319,10,0.027,29065,9,0.036,25327,8,30183,10,6009,2,23318,8,17251,6,32335,10,0.015,28360,9,0.054
ME13 7BQ,Live,E01024553,Swale 015C E01024553,22466,7,21586,7,0.07,23683,8,0.053,29171,9,26728,9,8808,3,24992,8,5665,2,27841,9,0.047,19014,6,0.107
DA12 2JW,Live,E01024293,Gravesham 003C E01024293,10502,4,11264,4,0.142,13550,5,0.094,8535,3,19443,6,533,1,27132,9,13513,5,11816,4,0.176,10730,4,0.19
BB5 4FF,Live,E01025059,Hyndburn 004E E01025059,5851,2,5028,2,0.229,2824,1,0.207,10814,4,3214,1,16647,6,31227,10,12972,4,7823,3,0.234,7256,3,0.244
FY7 8AY,Live,E01025580,Wyre 005E E01025580,14534,5,14501,5,0.113,8429,3,0.131,15704,5,9749,3,10932,4,30209,10,27161,9,12244,4,0.171,24376,8,0.074
PR3 1YE,Live,E01025549,Wyre 006B E01025549,23158,8,27420,9,0.045,25739,8,0.047,28103,9,19984,7,28258,9,6056,2,7094,3,28802,9,0.042,26069,8,0.066
WN8 6JW,Live,E01025522,West Lancashire 009D E01025522,16069,5,13014,4,0.126,12747,4,0.099,13542,5,12649,4,20092,7,17229,6,24566,8,12884,4,0.163,11984,4,0.174
PR7 1LL,Live,E01024934,Chorley 008C E01024934,24619,8,23751,8,0.06,18154,6,0.072,29378,9,14280,5,16325,5,32460,10,21480,7,29916,10,0.035,25575,8,0.068
PR1 0SR,Live,E01025466,South Ribble 001D E01025466,30056,10,27814,9,0.043,26801,9,0.044,30437,10,24546,8,22975,7,32595,10,14731,5,30573,10,0.031,27677,9,0.058
BB7 1EJ,Live,E01025334,Ribble Valley 002A E01025334,19594,6,14948,5,0.11,14089,5,0.091,24830,8,14843,5,24309,8,28041,9,13785,5,11017,4,0.186,21578,7,0.09
PR4 6AQ,Live,E01025532,West Lancashire 001E E01025532,29277,9,26160,8,0.05,20680,7,0.063,28241,9,23535,8,25427,8,29726,10,27098,9,26517,9,0.055,25444,8,0.069
WN5 7AL,Live,E01025537,West Lancashire 015D E01025537,21248,7,19437,6,0.081,12223,4,0.102,23290,8,20110,7,20903,7,23191,8,21332,7,21699,7,0.084,19975,7,0.1
OL12 8TS,Live,E01025376,Rossendale 009D E01025376,9277,3,5907,2,0.213,7045,3,0.145,9674,3,9956,4,13242,5,26384,9,15716,5,7642,3,0.237,5585,2,0.278
BB2 4SR,Live,E01012619,Blackburn with Darwen 012C E01012619,760,1,475,1,0.392,655,1,0.283,1242,1,417,1,10126,4,25210,8,14366,5,461,1,0.476,4152,2,0.313
NG9 5AL,Live,E01028069,Broxtowe 014A E01028069,27899,9,27386,9,0.045,27699,9,0.041,21709,7,24058,8,29817,10,13411,5,18207,6,25617,8,0.06,27083,9,0.06
NG5 7JZ,Live,E01028183,Gedling 007E E01028183,19866,7,18872,6,0.084,10125,4,0.117,17799,6,17937,6,24560,8,26494,9,25292,8,18413,6,0.109,22339,7,0.086
NG15 7DB,Live,E01027943,Ashfield 015D E01027943,13927,5,14363,5,0.114,13558,5,0.094,5473,2,13203,5,18636,6,21916,7,15006,5,10909,4,0.188,18920,6,0.108
SY9 5AY,Live,E01028991,South Shropshire 001A E01028991,13563,5,22538,7,0.065,25456,8,0.048,16174,5,22874,7,31514,10,921,1,540,1,22512,7,0.079,26825,9,0.062
TF7 5HX,Live,E01014161,Telford and Wrekin 022C E01014161,10550,4,9114,3,0.166,5634,2,0.161,9718,3,8994,3,15492,5,23922,8,29689,10,11901,4,0.175,12843,4,0.163
CW12 4NS,Live,E01018410,Congleton 007D E01018410,30613,10,28413,9,0.041,26170,8,0.046,28130,9,18968,6,27763,9,27962,9,30670,10,29784,10,0.036,28637,9,0.053
CW2 7JT,Live,E01018488,Crewe and Nantwich 008C E01018488,21539,7,27007,9,0.047,23285,8,0.054,15452,5,19377,6,14023,5,30926,10,4716,2,20851,7,0.09,29656,10,0.047
CW11 3NS,Live,E01018442,Congleton 010C E01018442,27277,9,26172,8,0.05,26492,9,0.045,29741,10,25774,8,16587,6,11332,4,21725,7,21921,7,0.083,31123,10,0.037
CH3 5XF,Live,E01018321,Chester 013B E01018321,29747,10,26537,9,0.048,24588,8,0.05,28839,9,25045,8,27854,9,25778,8,19482,6,29402,9,0.038,25403,8,0.069
CH3 7AD,Live,E01018324,Chester 012B E01018324,30851,10,30621,10,0.031,30283,10,0.031,31896,10,24119,8,27033,9,14762,5,22899,7,29396,9,0.038,30667,10,0.04
CH2 1NN,Live,E01018380,Chester 003E E01018380,17730,6,15519,5,0.106,11290,4,0.108,21306,7,12079,4,24045,8,21287,7,19571,6,13931,5,0.151,23471,8,0.079
PL13 1NQ,Live,E01018774,Caradon 010E E01018774,5474,2,7734,3,0.184,6092,2,0.155,10193,4,8608,3,27725,9,1458,1,1269,1,13328,5,0.158,8419,3,0.224
TR3 6LT,Live,E01018822,Carrick 005B E01018822,26413,9,22823,7,0.064,18324,6,0.072,24538,8,21143,7,26795,9,32190,10,20683,7,23969,8,0.07,21344,7,0.092
PL27 6BU,Live,E01018970,North Cornwall 009A E01018970,25130,8,20126,7,0.077,22796,7,0.056,21407,7,22639,7,32146,10,10812,4,28069,9,18316,6,0.109,21303,7,0.092
LA21 8EW,Live,E01019350,South Lakeland 008C E01019350,20181,7,29354,9,0.037,30618,10,0.03,26601,9,28558,9,30313,10,2564,1,1201,1,32531,10,0.012,26863,9,0.062
LA9 7EQ,Live,E01019367,South Lakeland 006B E01019367,23755,8,20927,7,0.073,21142,7,0.061,18698,6,18631,6,30957,10,29915,10,10881,4,18865,6,0.105,22601,7,0.084
CA28 8UG,Live,E01019286,Copeland 003E E01019286,14764,5,16747,6,0.097,11197,4,0.109,15792,5,5140,2,21055,7,22092,7,19144,6,24516,8,0.066,16918,6,0.124
LA13 9LE,Live,E01019163,Barrow-in-Furness 003F E01019163,28907,9,31547,10,0.026,26788,9,0.044,29979,10,9022,3,29755,10,25865,8,28195,9,32498,10,0.012,28903,9,0.051
CA1 1JB,Live,E01019206,Carlisle 006B E01019206,6285,2,7136,3,0.193,4480,2,0.177,20834,7,4084,2,6034,2,27944,9,2866,1,16230,5,0.128,6385,2,0.261
GL3 2PL,Live,E01022426,Tewkesbury 007B E01022426,32175,10,31405,10,0.027,29323,9,0.035,29516,9,27840,9,31465,10,22731,7,24867,8,31842,10,0.021,30885,10,0.039
GL11 4BY,Live,E01022372,Stroud 014A E01022372,26879,9,22055,7,0.067,17863,6,0.074,26433,9,25620,8,23755,8,30088,10,23088,8,21758,7,0.083,27579,9,0.058
GL6 7DY,Live,E01022354,Stroud 002A E01022354,30711,10,28963,9,0.039,26773,9,0.044,29161,9,30431,10,31899,10,28827,9,11600,4,29905,10,0.035,30024,10,0.045
GL54 5LB,Live,E01022465,Tewkesbury 003D E01022465,30019,10,28719,9,0.039,31385,10,0.026,27061,9,31205,10,21852,7,14558,5,17883,6,26337,9,0.056,30127,10,0.044
HP4 3AH,Live,E01023366,Dacorum 014B E01023366,21602,7,15636,5,0.105,17588,6,0.075,16998,6,24317,8,19563,6,18292,6,28234,9,18754,6,0.106,14268,5,0.149
WD4 9HN,Live,E01023408,Dacorum 022C E01023408,31988,10,31070,10,0.029,31639,10,0.025,29181,9,31522,10,13150,5,28082,9,30404,10,27683,9,0.048,32695,10,0.019
EN7 5FB,Live,E01023293,Broxbourne 011A E01023293,14543,5,17866,6,0.09,16384,5,0.08,9761,3,27230,9,6570,3,4560,2,15957,5,19180,6,0.102,18729,6,0.109
SG1 3BE,Live,E01023777,Stevenage 002B E01023777,22838,7,19750,7,0.079,21768,7,0.059,23521,8,25960,8,9660,3,22243,7,15175,5,14649,5,0.143,22828,7,0.083
AL3 6DR,Live,E01023671,St Albans 009C E01023671,18292,6,13971,5,0.118,13586,5,0.094,20617,7,24555,8,17925,6,7761,3,29064,9,16707,6,0.123,13933,5,0.152
PE21 9PF,Live,E01026021,Boston 003B E01026021,18327,6,17852,6,0.09,22287,7,0.057,14405,5,14735,5,27369,9,12526,4,7037,3,18551,6,0.108,15114,5,0.14
LN6 9AG,Live,E01026218,North Kesteven 014C E01026218,22344,7,18452,6,0.086,13072,4,0.097,18226,6,21011,7,28886,9,28530,9,25701,8,18732,6,0.106,21881,7,0.088
LN5 0PA,Live,E01026196,North Kesteven 006D E01026196,27735,9,22841,7,0.064,24614,8,0.05,25610,8,27530,9,30345,10,29491,9,10195,4,23300,8,0.074,22357,7,0.086
NN2 7HR,Live,E01027232,Northampton 001D E01027232,17544,6,23146,8,0.062,28234,9,0.039,10521,4,17533,6,10237,4,3243,1,17249,6,12989,4,0.162,18372,6,0.112
NN8 4RP,Live,E01027332,Wellingborough 002C E01027332,24375,8,27924,9,0.043,23853,8,0.053,18403,6,19392,6,9960,4,16505,6,27980,9,31652,10,0.023,24833,8,0.072
OX18 4PL,Live,E01028767,West Oxfordshire 012C E01028767,25924,8,23941,8,0.059,27091,9,0.043,21502,7,31672,10,23152,8,24486,8,5916,2,21248,7,0.087,25826,8,0.067
OX3 7QH,Live,E01028526,Oxford 010D E01028526,20677,7,27584,9,0.044,32038,10,0.022,13358,5,24755,8,25369,8,2478,1,7840,3,13900,5,0.152,17947,6,0.115
TA5 2NB,Live,E01029122,Sedgemoor 007B E01029122,23656,8,26953,9,0.047,24345,8,0.051,15388,5,25946,8,22313,7,27160,9,4904,2,29140,9,0.04,25918,8,0.066
BA21 4NH,Live,E01029254,South Somerset 011D E01029254,30936,10,30530,10,0.031,27105,9,0.043,22524,7,25677,8,25042,8,27632,9,27559,9,30112,10,0.034,30377,10,0.042
TA6 3JA,Live,E01029110,Sedgemoor 009C E01029110,6288,2,4348,2,0.243,4997,2,0.17,5592,2,8285,3,16655,6,14608,5,13103,4,2448,1,0.356,9030,3,0.214
BA21 3EP,Live,E01029247,South Somerset 013C E01029247,2923,1,3698,2,0.258,2916,1,0.205,858,1,4669,2,7829,3,11994,4,13017,4,3318,2,0.328,10895,4,0.188
IP28 7HT,Live,E01029947,Forest Heath 004E E01029947,22754,7,19681,6,0.079,24296,8,0.051,14614,5,22556,7,13936,5,18008,6,23892,8,17628,6,0.115,20105,7,0.1
KT15 1TE,Live,E01030648,Runnymede 007B E01030648,22720,7,21271,7,0.071,21105,7,0.061,19767,7,26064,8,14108,5,20770,7,12223,4,18623,6,0.107,27993,9,0.056
GU21 8TL,Live,E01030960,Woking 009A E01030960,26316,9,26316,9,0.049,25197,8,0.048,20370,7,21860,7,16303,5,19164,6,22510,7,24535,8,0.066,22216,7,0.086
GU27 1QB,Live,E01030929,Waverley 017D E01030929,26852,9,28222,9,0.042,25405,8,0.048,28008,9,23983,8,29043,9,7049,3,18609,6,32266,10,0.016,26709,9,0.062
CV31 1QH,Live,E01031328,Warwick 015B E01031328,28315,9,26314,9,0.049,27004,9,0.043,22491,7,21289,7,20308,7,20939,7,26668,9,25765,8,0.059,22979,7,0.082
CV12 9EA,Live,E01031095,Nuneaton and Bedworth 015A E01031095,6397,2,5583,2,0.219,4223,2,0.181,4543,2,9335,3,13050,4,18980,6,13832,5,4907,2,0.289,12858,4,0.163
CV36 4DY,Live,E01031216,Stratford-on-Avon 015E E01031216,20775,7,14359,5,0.114,18763,6,0.07,15362,5,15041,5,27044,9,21432,7,29590,10,12810,4,0.164,15424,5,0.137
BN12 5AF,Live,E01031802,Worthing 013A E01031802,25974,8,23359,8,0.061,23090,8,0.055,14401,5,22544,7,27322,9,23950,8,24443,8,13201,5,0.159,30050,10,0.045
RH11 8JE,Live,E01031566,Crawley 006C E01031566,19921,7,22151,7,0.067,20685,7,0.063,12302,4,19033,6,10825,4,15981,5,18653,6,24102,8,0.069,20087,7,0.1
RH19 3TY,Live,E01031730,Mid Sussex 003D E01031730,28663,9,27166,9,0.046,31471,10,0.026,19545,6,30377,10,28745,9,7070,3,29607,10,23263,8,0.074,24273,8,0.075
E14 0RZ,Live,E01004246,Tower Hamlets 018B E01004246,8057,3,6099,2,0.21,13464,5,0.095,14134,5,15354,5,1427,1,5863,2,10644,4,4107,2,0.307,4895,2,0.295
RM10 9QH,Live,E01000088,Barking and Dagenham 020C E01000088,8574,3,10790,4,0.147,12495,4,0.1,13589,5,12126,4,8365,3,1238,1,6458,2,11795,4,0.177,11461,4,0.181
N2 0SE,Live,E01000210,Barnet 033E E01000210,26833,9,24220,8,0.058,29944,10,0.033,32505,10,32462,10,11037,4,16778,6,10330,4,23685,8,0.071,24322,8,0.075
EN5 5RR,Live,E01000250,Barnet 001C E01000250,21023,7,15300,5,0.107,18377,6,0.071,29054,9,31547,10,15679,5,10078,4,14715,5,12685,4,0.165,15779,5,0.133
DA17 6HT,Live,E01000406,Bexley 005C E01000406,11865,4,10525,4,0.15,15402,5,0.084,13265,5,18819,6,7299,3,5018,2,11289,4,7770,3,0.235,11480,4,0.18
HA0 4JE,Live,E01000473,Brent 029B E01000473,10632,4,10960,4,0.145,15315,5,0.085,9801,3,26425,9,14053,5,846,1,8910,3,12273,4,0.17,7244,3,0.244
NW10 3ST,Live,E01000643,Brent 024D E01000643,2011,1,1751,1,0.317,1910,1,0.23,13463,5,5485,2,3157,1,620,1,7599,3,4269,2,0.302,358,1,0.55
SE19 3HL,Live,E01001084,Croydon 002A E01001084,19960,7,22264,7,0.066,25295,8,0.048,28468,9,23665,8,9879,4,7548,3,5534,2,24569,8,0.066,18002,6,0.115
EN1 4NP,Live,E01001412,Enfield 004C E01001412,8853,3,10956,4,0.145,13733,5,0.093,13225,5,26509,9,5796,2,337,1,6662,3,6368,2,0.26,15568,5,0.135
KT6 4TU,Live,E01002990,Kingston upon Thames 009D E01002990,27514,9,26319,9,0.049,30094,10,0.032,30988,10,28621,9,28798,9,10148,4,8895,3,30269,10,0.033,13517,5,0.156
IG6 3HB,Live,E01003700,Redbridge 006C E01003700,16080,5,14281,5,0.115,14975,5,0.086,14790,5,22969,7,12573,4,14206,5,9609,3,19875,7,0.097,8095,3,0.229
E11 2JZ,Live,E01003795,Redbridge 018C E01003795,26624,9,30363,10,0.032,27818,9,0.04,30426,10,30766,10,9556,3,12732,4,11972,4,31450,10,0.024,21871,7,0.088
SM2 6TQ,Live,E01004155,Sutton 018B E01004155,26924,9,25850,8,0.051,29236,9,0.035,29408,9,24540,8,25169,8,6932,3,17778,6,24156,8,0.069,20590,7,0.096
E17 4EY,Live,E01004348,Waltham Forest 010B E01004348,15993,5,13442,5,0.122,21623,7,0.06,18879,6,27921,9,15061,5,3219,1,7904,3,11895,4,0.175,8862,3,0.217
E17 8DN,Live,E01004449,Waltham Forest 018E E01004449,2803,1,1360,1,0.333,3040,1,0.202,7329,3,13382,5,3261,1,1548,1,16413,5,2314,1,0.361,634,1,0.502
E11 1JD,Live,E01004442,Waltham Forest 021E E01004442,20152,7,20983,7,0.073,24420,8,0.051,26966,9,24462,8,24776,8,6477,2,3549,2,21955,7,0.082,9811,3,0.202
E4 8SG,Live,E01004419,Waltham Forest 008E E01004419,13460,5,18459,6,0.086,20853,7,0.062,17203,6,26058,8,9748,3,2688,1,1992,1,19500,6,0.1,16735,6,0.125
B36 8HB,Live,E01009082,Birmingham 044A E01009082,4863,2,5325,2,0.223,6558,2,0.15,4738,2,4812,2,8928,3,5118,2,8551,3,5998,2,0.267,5672,2,0.276
B13 9UU,Live,E01009395,Birmingham 097F E01009395,5654,2,3855,2,0.254,5735,2,0.16,12592,4,8021,3,17092,6,5249,2,4700,2,7418,3,0.241,2379,1,0.377
B8 3HG,Live,E01009485,Birmingham 048E E01009485,1672,1,1983,1,0.308,3960,2,0.186,716,1,8397,3,7665,3,3436,2,756,1,5262,2,0.281,350,1,0.552
CV1 2BA,Live,E01009633,Coventry 028A E01009633,10873,4,11647,4,0.138,16058,5,0.081,10281,4,10448,4,14708,5,12142,4,2525,1,6605,3,0.256,5243,2,0.286
CV6 2FR,Live,E01009524,Coventry 006A E01009524,8491,3,7240,3,0.191,7260,3,0.142,11361,4,3621,2,16981,6,18722,6,16100,5,13142,5,0.16,5195,2,0.287
B64 6QU,Live,E01009956,Sandwell 035D E01009956,7808,3,5764,2,0.216,6567,2,0.15,10579,4,5573,2,13241,5,24856,8,10165,4,5948,2,0.268,5957,2,0.269
DY4 0BZ,Live,E01010035,Sandwell 007C E01010035,17396,6,25084,8,0.054,21015,7,0.062,12941,4,12278,4,22699,7,13525,5,3671,2,23297,8,0.074,22316,7,0.086
WV14 7BL,Live,E01010415,Wolverhampton 027B E01010415,3251,1,2193,1,0.3,3023,1,0.202,2500,1,5927,2,8031,3,14189,5,14146,5,2329,1,0.361,5179,2,0.287
CH48 6EQ,Live,E01007260,Wirral 028B E01007260,24696,8,24980,8,0.055,17587,6,0.075,30793,10,12712,4,31057,10,20175,7,19896,7,28997,9,0.04,24120,8,0.076
CH45 8PJ,Live,E01007312,Wirral 003C E01007312,12609,4,11303,4,0.142,11409,4,0.107,19820,7,5509,2,14103,5,32065,10,8739,3,14910,5,0.141,9949,4,0.2
CH45 4RJ,Live,E01007314,Wirral 004E E01007314,12103,4,14998,5,0.11,8607,3,0.129,21727,7,6892,3,11699,4,32048,10,4619,2,20760,7,0.09,14841,5,0.143
BL5 3BZ,Live,E01004894,Bolton 028C E01004894,15843,5,15586,5,0.105,17430,6,0.075,16114,5,18596,6,4577,2,29066,9,7353,3,17123,6,0.119,14377,5,0.147
M25 0PH,Live,E01005045,Bury 023E E01005045,12690,4,10826,4,0.146,9515,3,0.121,16889,6,16892,6,3689,2,25129,8,18893,6,14991,5,0.14,11441,4,0.181
M18 8RL,Live,E01005188,Manchester 021B E01005188,3610,2,5289,2,0.224,4626,2,0.175,9499,3,4582,2,658,1,13464,5,3187,1,4729,2,0.292,13139,5,0.16
OL9 9QY,Live,E01005330,Oldham 015B E01005330,22966,7,27075,9,0.046,21085,7,0.061,23415,8,18244,6,10791,4,22131,7,12082,4,28097,9,0.046,25875,8,0.067
OL8 3EP,Live,E01005438,Oldham 029E E01005438,4552,2,5438,2,0.222,7935,3,0.135,5628,2,7103,3,1225,1,29687,10,1242,1,5669,2,0.273,10694,4,0.19
OL2 5BF,Live,E01005398,Oldham 009B E01005398,13262,5,17433,6,0.093,15178,5,0.085,15036,5,10628,4,3881,2,31216,10,4830,2,17596,6,0.115,16462,6,0.128
OL9 0LS,Live,E01005330,Oldham 015B E01005330,22966,7,27075,9,0.046,21085,7,0.061,23415,8,18244,6,10791,4,22131,7,12082,4,28097,9,0.046,25875,8,0.067
